"","signature","repository","script","text-height","text-width","text-src","illustrations","date_min","date_max","leaf-height","leaf-width","leaf-src","number-lines","material","physical-type","country","region","columns"
"52","Kopenhagen, Kongelige Bibliotek, Ledreborg 373 4o, I-II","Kopenhagen, Kongelige Bibliotek",NA,NA,NA,NA,0,1700,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Paris, Bibliothèque Nationale de France, fr. 753","Paris, Bibliothèque Nationale de France","cursive",NA,NA,NA,0,1400,1500,"285","210","current",27,"paper","codex",NA,NA,1
"54","Wetzlar, Staatsbibliothek, VIII ex litt. B 1644/5228 [lost]","Wetzlar, Staatsbibliothek",NA,235,162,"original",0,1300,1400,NA,NA,NA,40,"parchment","fragment",NA,NA,2
"55","Vatican, Biblioteca Apostolica Vaticana, Pal. lat. 13501","Vatican, Biblioteca Apostolica Vaticana",NA,NA,NA,NA,0,1200,1300,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"56","Florence, Biblioteca Nazionale, Magliab.II.II.68","Florence, Biblioteca Nazionale",NA,NA,NA,NA,0,1391,1391,NA,NA,NA,NA,"paper","codex","Italy","Florence",NA
"57","Oxford, Bodleian Library, Rawlinson B 149","Oxford, Bodleian Library","cursive",NA,NA,NA,0,1390,1410,NA,NA,NA,NA,"parchment","codex",NA,NA,NA
"58","Paris, Bibliothèque Nationale de France, fr. 345 - 348 [346]","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1425,1475,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"59","Regensburg, Staatlichen Bibliothek, n.s.","Regensburg, Staatlichen Bibliothek","textualis",NA,NA,NA,0,1300,1350,NA,NA,NA,NA,"parchment","fragment",NA,NA,NA
"60","Paris, Bibliothèque Nationale de France, fr. 100-101 [fr. 101]","Paris, Bibliothèque Nationale de France","textualis",NA,NA,NA,0,1402,1402,"460","320","current",52,"parchment","codex","France","Paris",2
"61","Heidelberg, Universitätsbibliothek, Cpg 729","Heidelberg, Universitätsbibliothek","textualis",NA,NA,NA,0,1400,1425,NA,NA,NA,32,"paper","fragment",NA,NA,1
"62","Oslo, Riksarkivet, frm. 94","Oslo, Riksarkivet",NA,240,145,"original",0,1300,1350,"290","210","current",34,"parchment","fragment",NA,NA,2
"63","Freiburg, Universitätsbibliothek, 445","Freiburg, Universitätsbibliothek",NA,135,90,"original",0,1220,1230,"155","103","current",29,"parchment","fragment",NA,NA,1
"64","Paris, Bibliothèque Nationale de France, nouv. acq. lat. 2374","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1380,1400,NA,NA,NA,32,"parchment","fragment",NA,NA,2
"65","Stuttgart, Württembergische Landesbibliothek, Cod. poet. et phil. 4o. 89","Stuttgart, Württembergische Landesbibliothek","textualis",195,135,"original",0,1250,1300,"240","170","current",40,"parchment","fragment",NA,NA,2
"66","Udine, Archivio di Stato, framm. 107","Udine, Archivio di Stato","textualis",NA,NA,NA,1,1280,1300,"280","228","original",48,"parchment","fragment",NA,NA,2
"67","Eisleben, Andreaskirche, -","Eisleben, Andreaskirche",NA,290,125,"original",0,1250,1300,"370","170","original",60,"parchment","fragment",NA,NA,2
"68","Oxford, Bodleian Library, Douce 189","Oxford, Bodleian Library",NA,NA,NA,NA,0,1275,1300,"310","210","current",NA,"parchment","codex","Italy","Pisa",2
"69","Karlsruhe, Landesbibliothek, 86","Karlsruhe, Landesbibliothek",NA,NA,NA,NA,1,1400,1500,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"70","Paris, Bibliothèque Nationale de France, fr. 123","Paris, Bibliothèque Nationale de France","textualis",NA,NA,NA,90,1275,1280,"440","290","current",50,"parchment","codex","France","Artois",2
"71","Vienna, Österreichische Nationalbibliothek, s. n. 4433","Vienna, Österreichische Nationalbibliothek",NA,155,110,"original",0,1340,1360,"187","150","current",30,"parchment","fragment",NA,NA,2
"72","Liverpool, University Library, Mayer 8951","Liverpool, University Library",NA,155,120,"original",0,1265,1300,"247","170","original",34,"parchment","fragment",NA,NA,2
"73","Berlin, Staatsbibliothek, germ. fol. 757, 30","Berlin, Staatsbibliothek","textualis",228,150,"original",0,1290,1310,"285","60","original",42,"parchment","fragment",NA,NA,2
"74","Munich, Staatsbibliothek, cgm 5249 / 75 (ex-Scheinfelder frm. n)","Munich, Staatsbibliothek","cursive",245,165,"original",0,1450,1475,"312","208","current",22,"paper","fragment",NA,NA,2
"75","St Petersburg, National Library, fr.F.pap.XV.3","St Petersburg, National Library",NA,NA,NA,NA,0,1390,1410,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"76","Bern, Bürgerbibliothek, AA 91","Bern, Bürgerbibliothek","cursive",230,175,"original",28,1467,1467,"310","215","current",NA,"paper","codex",NA,NA,2
"77","New York, Pierpont Morgan Library, 805 - 807 (ex Henry Yates Thompson) [806]","New York, Pierpont Morgan Library","textualis",NA,NA,NA,75,1305,1325,"346","255","current",49,"parchment","codex","France","Amiens",3
"78","Florence, Biblioteca Riccardiana, 2759","Florence, Biblioteca Riccardiana",NA,NA,NA,NA,1,1300,1350,"305","210","current",36,"parchment","codex","Italy","Emilia-Veneto",2
"79","Stockholm, Kungliga Biblioteket, D 3","Stockholm, Kungliga Biblioteket",NA,NA,NA,NA,0,1488,1488,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"80","Zürich, Staatsarchiv, Sammelmappe C VI/1, Mappe VI, 6a","Zürich, Staatsarchiv",NA,260,170,"original",0,1275,1300,"340","235","current",46,"parchment","fragment","Germany","Zürich",3
"81","Paris, Bibliothèque Nationale de France, fr. 12599","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,77,1275,1300,"275","195","current",42,"parchment","codex","Italy","Pisa, Tuscany",2
"82","Hamburg, Staats- und Universitätsbibliothek, germ. 11","Hamburg, Staats- und Universitätsbibliothek",NA,NA,NA,NA,0,1464,1464,"340","230","current",NA,"paper","codex",NA,NA,NA
"83","Parma, Biblioteca Palatina,","Parma, Biblioteca Palatina",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"84","Cologne, Stadthistorisches Archiv, W* 6","Cologne, Stadthistorisches Archiv",NA,175,115,"original",0,1215,1225,"210","145","current",24,"parchment","codex",NA,NA,1
"85","London, British Library, Add. 19554","London, British Library","cursive",NA,NA,NA,1,1468,1468,"290","200","current",47,"paper","codex","Germany","Tirol",2
"86","Paris, Bibliothèque Nationale de France, fr. 1434","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1200,1300,"282","200","current",NA,"parchment","codex",NA,NA,2
"87","Stockholm, Kungliga Biblioteket, 46 fol.","Stockholm, Kungliga Biblioteket",NA,NA,NA,NA,0,1690,1690,NA,NA,NA,NA,"parchment","codex",NA,NA,NA
"88","Florence, Biblioteca Nazionale, II.IV.196","Florence, Biblioteca Nazionale",NA,NA,NA,NA,0,1400,1500,"329","225","current",NA,"paper","codex",NA,NA,2
"89","New Haven, Beinecke Library, Zibaldone da canal","New Haven, Beinecke Library",NA,NA,NA,NA,0,1270,1390,NA,NA,NA,NA,"paper","fragment",NA,NA,NA
"90","Hannover, Niedersächsische Landesbibliothek, IV 486","Hannover, Niedersächsische Landesbibliothek","textualis",NA,NA,NA,0,1290,1310,NA,NA,NA,38,"parchment","fragment",NA,NA,2
"91","Paris, Bibliothèque Nationale de France, fr. 1446","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1200,1300,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"92","Zwettl, Stiftsbibliothek, fragmenten","Zwettl, Stiftsbibliothek","textualis",182,126,"original",0,1290,1310,"223","130","current",32,"parchment","fragment",NA,NA,2
"93","London, British Library, Royal 15 E V","London, British Library","hybrida",300,225,"original",1,1475,1500,"475","350","current",39,"parchment","codex","Southern Netherlands","Bruges",2
"94","Darmstadt, Hessische Landes- und Hochschulbibliothek, 2524","Darmstadt, Hessische Landes- und Hochschulbibliothek","cursive",NA,NA,NA,29,1449,1450,"290","190","current",NA,"paper","codex","France","Douai",1
"95","Amsterdam, Bibliotheca Philosophica Hermetica, BPH 1 (3 vols) [vol. 1]","Amsterdam, Bibliotheca Philosophica Hermetica","textualis",NA,NA,NA,108,1300,1325,NA,NA,NA,NA,"parchment","codex",NA,NA,2
"96","Poznan, Raczynski Public Library, 94","Poznan, Raczynski Public Library",NA,NA,NA,NA,0,1570,1590,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"97","London, British Library, Add. 30984","London, British Library","cursive",NA,NA,NA,0,1475,1500,"298","232","current",44,"paper","codex","Germany","Rhineland",2
"98","Oxford, Bodleian Library, Douce 324","Oxford, Bodleian Library","cursive",NA,NA,NA,0,1450,1475,"290","190","current",30,"paper","codex",NA,NA,1
"99","Dresden, Landesbibliothek, M 56","Dresden, Landesbibliothek",NA,NA,NA,NA,0,1489,1489,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"100","Turin, Biblioteca Nazionale, R. 1677 (L.IV.33)","Turin, Biblioteca Nazionale","cursive",NA,NA,NA,0,1400,1425,"295","220","current",40,"paper","codex",NA,NA,2
"101","Vienna, Österreichische Nationalbibliothek, 14612","Vienna, Österreichische Nationalbibliothek",NA,135,90,"original",0,1220,1230,"155","103","current",32,"parchment","fragment",NA,NA,1
"102","Paris, Bibliothèque Nationale de France, fr. 748","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,15,1220,1240,"302","214","current",40,"parchment","codex","France","South-France",2
"103","Karlsruhe, Landesbibliothek, 70 (Ex-Donaueschingen)","Karlsruhe, Landesbibliothek","cursive",220,180,"original",0,1450,1475,"290","205","current",NA,"paper","codex","Germany","Hessen",2
"104","Namen, Archives de l'État, 60","Namen, Archives de l'État",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"105","Berlin, Staatsbibliothek, germ. fol. 923, 4","Berlin, Staatsbibliothek",NA,175,115,"original",0,1240,1260,"233","170","current",41,NA,"fragment",NA,NA,2
"106","Paris, Bibliothèque de l' Arsenal, 3483-94 [3487]","Paris, Bibliothèque de l' Arsenal",NA,NA,NA,NA,0,1400,1500,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"107","Siena, Biblioteca Comunale, I.VII.13","Siena, Biblioteca Comunale",NA,NA,NA,NA,0,1478,1478,NA,NA,NA,NA,"paper","codex","Italy","Montecchiello",NA
"108","Grenoble, Bibliothèque Municipale, 378","Grenoble, Bibliothèque Municipale",NA,NA,NA,NA,0,1280,1300,"311","227","current",40,"parchment","codex",NA,NA,2
"109","Oberhollabrun, Knabenseminar, -","Oberhollabrun, Knabenseminar","textualis",195,140,"original",0,1250,1275,"230","160","current",36,NA,"fragment",NA,NA,2
"110","Ghent, Universiteitsbibliotheek, 6","Ghent, Universiteitsbibliotheek",NA,NA,NA,NA,0,1500,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Paris, Bibliothèque Nationale de France, fr. 117 - 120 [fr. 119]","Paris, Bibliothèque Nationale de France","textualis",NA,NA,NA,0,1484,1484,NA,NA,NA,65,"parchment","codex","France","Paris",2
"112","Tübingen, Universitätsbibliothek, Md 671","Tübingen, Universitätsbibliothek","cursive",185,115,"original",0,1225,1250,"210","146","current",36,NA,"fragment",NA,NA,2
"113","Cambridge, University Library, Ee.4.26","Cambridge, University Library",NA,NA,NA,NA,0,1250,1300,"255","185","current",NA,NA,"codex",NA,NA,2
"114","Los Angeles, Getty Museum, Ludwig XV, 6","Los Angeles, Getty Museum",NA,NA,NA,NA,0,1340,1360,"360","235","current",NA,"parchment","codex","Italy","Bologna",NA
"115","Paris, Bibliothèque Nationale de France, fr. 747","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1250,1275,"330","225","current",46,"parchment","codex",NA,NA,2
"116","Reykjavik, Landsbókasafn Íslands, Lbs 1907, 8o","Reykjavik, Landsbókasafn Íslands",NA,NA,NA,NA,0,1860,1870,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"117","Aberystwyth, National Library of Wales, Peniarth 147","Aberystwyth, National Library of Wales",NA,NA,NA,NA,0,1566,1566,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","London, British Library, Harley 6341-6342 [Harley 6341]","London, British Library",NA,NA,NA,NA,0,1488,1488,"390","280","current",37,"paper","codex",NA,NA,2
"119","Paris, Bibliothèque Nationale de France, fr. 102","Paris, Bibliothèque Nationale de France","cursive",NA,NA,NA,1,1460,1480,"450","315","current",NA,"parchment","codex",NA,NA,3
"120","Venice, Biblioteca Marciana, fr. Z. XV (228)","Venice, Biblioteca Marciana","textualis",NA,NA,NA,194,1340,1360,"385","286","current",46,"parchment","codex","Italy","Naples",3
"121","Kopenhagen, Kongelige Bibliotek, Ny kgl. saml. 1794b 4o","Kopenhagen, Kongelige Bibliotek",NA,NA,NA,NA,0,1340,1360,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"122","Paris, Bibliothèque Ste Geneviève, 1269","Paris, Bibliothèque Ste Geneviève",NA,NA,NA,NA,0,1200,1225,NA,NA,NA,25,"parchment","fragment",NA,NA,2
"123","Munich, Universitätsbibliothek, 8o Cod. ms. 154 (cim. 80b), Fragm. I","Munich, Universitätsbibliothek","textualis",160,115,"original",0,1290,1310,"200","145","original",36,"parchment","fragment","Germany","Bayern",2
"124","Bologna, Archivio di Stato, busta 1 bis, no. 11 [Fulvio Maggi, 1615-1616]","Bologna, Archivio di Stato",NA,NA,NA,NA,0,1275,1300,NA,NA,NA,NA,NA,"fragment","Italy","Genoa",NA
"125","Leiden, , voorm. coll. Scheerling???","Leiden,",NA,NA,NA,NA,0,1400,1500,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"126","Arnsberg, Provinzialbibliothek, 8o Ms. 1","Arnsberg, Provinzialbibliothek","textualis",195,140,"original",0,1250,1275,"230","160","current",36,NA,"fragment",NA,NA,2
"127","Reykjavik, Landsbókasafn Íslands, ÍB 45 fol.","Reykjavik, Landsbókasafn Íslands",NA,NA,NA,NA,0,1700,1800,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"128","Vienna, Österreichische Nationalbibliothek, Cod. Vind. 2708","Vienna, Österreichische Nationalbibliothek","textualis",167,108,"original",0,1275,1300,"228","168","current",38,"parchment","codex","Germany","Zürich",2
"129","Paris, Bibliothèque Nationale de France, fr. 97","Paris, Bibliothèque Nationale de France","cursive",NA,NA,NA,0,1400,1425,"457","350","current",NA,"parchment","codex","France","PAris",3
"130","Padova, Biblioteca Riccardiana, 609","Padova, Biblioteca Riccardiana",NA,NA,NA,NA,0,1385,1390,NA,NA,NA,NA,NA,"fragment","Italy","Friuli",NA
"131","Kopenhagen, Arnamagnaenska Institut, AM 79. 8o, II delta","Kopenhagen, Arnamagnaenska Institut",NA,270,185,"original",0,1350,1400,"320","230","current",52,"parchment","fragment",NA,NA,2
"132","Florence, Biblioteca Riccardiana, Ricc. 1729","Florence, Biblioteca Riccardiana",NA,NA,NA,NA,0,1300,1400,"219","150","current",NA,"paper","fragment",NA,NA,NA
"133","Venice, Biblioteca Marciana, fr. Z. IX (227)","Venice, Biblioteca Marciana","textualis",NA,NA,NA,10,1300,1320,"350","230","current",39,"parchment","codex","Italy","Genoa, Lombard",2
"134","Bologna, Archivio di Stato, tribunale di rota,  piano, torre b, scaffale 2","Bologna, Archivio di Stato",NA,NA,NA,NA,0,1275,1300,NA,NA,NA,NA,"parchment","fragment",NA,NA,NA
"135","Modena, Biblioteca Estenze, E 57","Modena, Biblioteca Estenze","cursive",190,140,"original",0,1450,1465,"300","220","current",35,"paper","codex","Germany","Schwaben",2
"136","Paris, Bibliothèque Nationale de France, fr. 358-363 [359]","Paris, Bibliothèque Nationale de France","hybrida",NA,NA,NA,1,1460,1480,"380","275","current",31,"parchment","codex","Southern Netherlands","Bruges",2
"137","Reykjavik, Árni Magnússon-institutet, AM 395","Reykjavik, Árni Magnússon-institutet",NA,NA,NA,NA,0,1700,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Berlin, Staatsbibliothek, Hamilton 49","Berlin, Staatsbibliothek","textualis",NA,NA,NA,17,1300,1320,"375","245","current",50,"parchment","codex","Italy","Naples",2
"139","Le Mans, Bibliothèque Municipale, 354","Le Mans, Bibliothèque Municipale","textualis",NA,NA,NA,17,1275,1295,"298","213","current",37,"parchment","codex","France","Douai",2
"140","Goslar, Stadtarchiv, B 4450","Goslar, Stadtarchiv",NA,NA,NA,NA,0,1375,1400,NA,NA,NA,51,"parchment","fragment",NA,NA,NA
"141","Paris, Bibliothèque Nationale de France, fr. 24374","Paris, Bibliothèque Nationale de France","textualis",185,135,"original",0,1275,1300,"294","200","current",30,"parchment","codex","France","Ile-de-France",2
"142","Paris, Bibliothèque Nationale de France, fr. 106 - 109 [107]","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1450,1500,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"143","Marburg, Hessisches Staatsarchiv, fragment 7","Marburg, Hessisches Staatsarchiv",NA,NA,NA,NA,0,1300,1400,NA,NA,NA,NA,"parchment","fragment","Germany","North-Baden",NA
"144","Cambridge, University Library, Kk. 1. 5 (part VII)","Cambridge, University Library",NA,NA,NA,NA,0,1480,1500,"273","197","current",40,"paper","codex",NA,NA,1
"145","London, Lambeth Palace Library, 6","London, Lambeth Palace Library",NA,NA,NA,NA,0,1460,1480,NA,NA,NA,NA,NA,NA,"Southern Netherlands","Bruges, Flanders",NA
"146",", Private Collection, Annonay fragments",", Private Collection","textualis",220,155,NA,0,1220,1225,"280","210","current",38,"parchment","fragment","France","Champagne",2
"147","Privas, Archives départementales de l'Ardèche, I","Privas, Archives départementales de l'Ardèche",NA,NA,NA,NA,1,1290,1310,"310","235","current",39,"parchment","codex","France","Normandy",2
"148","Paris, Bibliothèque Nationale de France, fr. 106 - 109 [108]","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1450,1500,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"149","Marburg, Hessisches Staatsarchiv, Hr 11,2","Marburg, Hessisches Staatsarchiv","cursive",315,220,"original",0,1340,1360,"375","285","current",43,"paper","fragment",NA,NA,2
