CASE	CONSTRUCTION	GIVENNESS	STUDY
181	V_Part_DO	given	Peters
182	V_Part_DO	given	Peters
183	V_Part_DO	given	Peters
184	V_Part_DO	given	Peters
185	V_Part_DO	given	Peters
186	V_Part_DO	given	Peters
187	V_Part_DO	given	Peters
188	V_Part_DO	given	Peters
189	V_Part_DO	given	Peters
190	V_Part_DO	given	Peters
191	V_Part_DO	given	Peters
192	V_Part_DO	given	Peters
193	V_Part_DO	given	Peters
194	V_Part_DO	given	Peters
195	V_Part_DO	given	Peters
196	V_Part_DO	given	Peters
197	V_Part_DO	given	Peters
198	V_Part_DO	given	Peters
199	V_Part_DO	given	Peters
200	V_Part_DO	given	Peters
201	V_Part_DO	given	Peters
202	V_Part_DO	given	Peters
203	V_Part_DO	given	Peters
204	V_Part_DO	given	Peters
205	V_Part_DO	given	Peters
206	V_Part_DO	given	Peters
207	V_Part_DO	given	Peters
208	V_Part_DO	given	Peters
209	V_Part_DO	given	Peters
210	V_Part_DO	given	Peters
211	V_Part_DO	given	Peters
212	V_Part_DO	given	Peters
213	V_Part_DO	given	Peters
214	V_Part_DO	given	Peters
215	V_Part_DO	given	Peters
216	V_Part_DO	given	Peters
217	V_Part_DO	given	Peters
218	V_Part_DO	given	Peters
219	V_Part_DO	given	Peters
220	V_Part_DO	given	Peters
221	V_Part_DO	given	Peters
222	V_Part_DO	given	Peters
223	V_Part_DO	given	Peters
224	V_Part_DO	given	Peters
225	V_Part_DO	given	Peters
226	V_Part_DO	given	Peters
227	V_Part_DO	given	Peters
228	V_Part_DO	given	Peters
229	V_Part_DO	given	Peters
230	V_Part_DO	given	Peters
231	V_Part_DO	given	Peters
232	V_Part_DO	given	Peters
233	V_Part_DO	given	Peters
234	V_Part_DO	given	Peters
235	V_Part_DO	given	Peters
236	V_Part_DO	given	Peters
237	V_Part_DO	given	Peters
238	V_Part_DO	given	Peters
239	V_Part_DO	given	Peters
240	V_Part_DO	given	Peters
241	V_Part_DO	given	Peters
242	V_Part_DO	given	Peters
243	V_Part_DO	given	Peters
244	V_Part_DO	given	Peters
245	V_Part_DO	given	Peters
246	V_Part_DO	given	Peters
247	V_Part_DO	given	Peters
248	V_Part_DO	given	Peters
249	V_Part_DO	given	Peters
250	V_Part_DO	given	Peters
251	V_Part_DO	new	Peters
252	V_Part_DO	new	Peters
253	V_Part_DO	new	Peters
254	V_Part_DO	new	Peters
255	V_Part_DO	new	Peters
256	V_Part_DO	new	Peters
257	V_Part_DO	new	Peters
258	V_Part_DO	new	Peters
259	V_Part_DO	new	Peters
260	V_Part_DO	new	Peters
261	V_Part_DO	new	Peters
262	V_Part_DO	new	Peters
263	V_Part_DO	new	Peters
264	V_Part_DO	new	Peters
265	V_Part_DO	new	Peters
266	V_Part_DO	new	Peters
267	V_Part_DO	new	Peters
268	V_Part_DO	new	Peters
269	V_Part_DO	new	Peters
270	V_Part_DO	new	Peters
271	V_Part_DO	new	Peters
272	V_Part_DO	new	Peters
273	V_Part_DO	new	Peters
274	V_Part_DO	new	Peters
275	V_Part_DO	new	Peters
276	V_Part_DO	new	Peters
277	V_Part_DO	new	Peters
278	V_Part_DO	new	Peters
279	V_Part_DO	new	Peters
280	V_Part_DO	new	Peters
281	V_Part_DO	new	Peters
282	V_Part_DO	new	Peters
283	V_Part_DO	new	Peters
284	V_Part_DO	new	Peters
285	V_Part_DO	new	Peters
286	V_Part_DO	new	Peters
287	V_Part_DO	new	Peters
288	V_Part_DO	new	Peters
289	V_Part_DO	new	Peters
290	V_Part_DO	new	Peters
291	V_Part_DO	new	Peters
292	V_Part_DO	new	Peters
293	V_Part_DO	new	Peters
294	V_Part_DO	new	Peters
295	V_Part_DO	new	Peters
296	V_Part_DO	new	Peters
297	V_Part_DO	new	Peters
298	V_Part_DO	new	Peters
299	V_Part_DO	new	Peters
300	V_Part_DO	new	Peters
301	V_Part_DO	new	Peters
302	V_Part_DO	new	Peters
303	V_Part_DO	new	Peters
304	V_Part_DO	new	Peters
305	V_Part_DO	new	Peters
306	V_Part_DO	new	Peters
307	V_Part_DO	new	Peters
308	V_Part_DO	new	Peters
309	V_Part_DO	new	Peters
310	V_Part_DO	new	Peters
311	V_Part_DO	new	Peters
312	V_Part_DO	new	Peters
313	V_Part_DO	new	Peters
314	V_Part_DO	new	Peters
315	V_Part_DO	new	Peters
316	V_Part_DO	new	Peters
317	V_Part_DO	new	Peters
318	V_Part_DO	new	Peters
319	V_Part_DO	new	Peters
320	V_Part_DO	new	Peters
321	V_Part_DO	new	Peters
322	V_Part_DO	new	Peters
323	V_Part_DO	new	Peters
324	V_Part_DO	new	Peters
325	V_Part_DO	new	Peters
326	V_Part_DO	new	Peters
327	V_Part_DO	new	Peters
328	V_Part_DO	new	Peters
329	V_Part_DO	new	Peters
330	V_Part_DO	new	Peters
331	V_Part_DO	new	Peters
332	V_Part_DO	new	Peters
333	V_Part_DO	new	Peters
334	V_Part_DO	new	Peters
335	V_Part_DO	new	Peters
336	V_Part_DO	new	Peters
337	V_Part_DO	new	Peters
338	V_Part_DO	new	Peters
339	V_Part_DO	new	Peters
340	V_Part_DO	new	Peters
341	V_Part_DO	new	Peters
342	V_Part_DO	new	Peters
343	V_Part_DO	new	Peters
344	V_Part_DO	new	Peters
345	V_Part_DO	new	Peters
346	V_Part_DO	new	Peters
347	V_Part_DO	new	Peters
348	V_Part_DO	new	Peters
349	V_Part_DO	new	Peters
350	V_Part_DO	new	Peters
351	V_Part_DO	new	Peters
352	V_Part_DO	new	Peters
353	V_Part_DO	new	Peters
354	V_Part_DO	new	Peters
355	V_Part_DO	new	Peters
356	V_Part_DO	new	Peters
357	V_Part_DO	new	Peters
358	V_Part_DO	new	Peters
359	V_Part_DO	new	Peters
360	V_Part_DO	new	Peters
361	V_Part_DO	new	Peters
362	V_Part_DO	new	Peters
363	V_Part_DO	new	Peters
364	V_Part_DO	new	Peters
365	V_Part_DO	new	Peters
366	V_Part_DO	new	Peters
367	V_Part_DO	new	Peters
368	V_Part_DO	new	Peters
369	V_Part_DO	new	Peters
370	V_Part_DO	new	Peters
371	V_Part_DO	new	Peters
372	V_Part_DO	new	Peters
373	V_Part_DO	new	Peters
374	V_Part_DO	new	Peters
375	V_Part_DO	new	Peters
376	V_Part_DO	new	Peters
377	V_Part_DO	new	Peters
378	V_Part_DO	new	Peters
379	V_Part_DO	new	Peters
380	V_Part_DO	new	Peters
381	V_Part_DO	new	Peters
382	V_Part_DO	new	Peters
383	V_Part_DO	new	Peters
384	V_Part_DO	new	Peters
385	V_Part_DO	new	Peters
386	V_Part_DO	new	Peters
387	V_Part_DO	new	Peters
388	V_Part_DO	new	Peters
389	V_Part_DO	new	Peters
390	V_Part_DO	new	Peters
391	V_Part_DO	new	Peters
392	V_Part_DO	new	Peters
393	V_Part_DO	new	Peters
394	V_Part_DO	new	Peters
395	V_Part_DO	new	Peters
396	V_Part_DO	new	Peters
397	V_Part_DO	new	Peters
398	V_DO_Part	given	Gries
399	V_DO_Part	given	Gries
400	V_DO_Part	given	Gries
401	V_DO_Part	given	Gries
402	V_DO_Part	given	Gries
403	V_DO_Part	given	Gries
404	V_DO_Part	given	Gries
405	V_DO_Part	given	Gries
406	V_DO_Part	given	Gries
407	V_DO_Part	given	Gries
408	V_DO_Part	given	Gries
409	V_DO_Part	given	Gries
410	V_DO_Part	given	Gries
411	V_DO_Part	given	Gries
412	V_DO_Part	given	Gries
413	V_DO_Part	given	Gries
414	V_DO_Part	given	Gries
415	V_DO_Part	given	Gries
416	V_DO_Part	given	Gries
417	V_DO_Part	given	Gries
418	V_DO_Part	given	Gries
419	V_DO_Part	given	Gries
420	V_DO_Part	given	Gries
421	V_DO_Part	given	Gries
422	V_DO_Part	given	Gries
423	V_DO_Part	given	Gries
424	V_DO_Part	given	Gries
425	V_DO_Part	given	Gries
426	V_DO_Part	given	Gries
427	V_DO_Part	given	Gries
428	V_DO_Part	given	Gries
429	V_DO_Part	given	Gries
430	V_DO_Part	given	Gries
431	V_DO_Part	given	Gries
432	V_DO_Part	given	Gries
433	V_DO_Part	given	Gries
434	V_DO_Part	given	Gries
435	V_DO_Part	given	Gries
436	V_DO_Part	given	Gries
437	V_DO_Part	given	Gries
438	V_DO_Part	given	Gries
439	V_DO_Part	given	Gries
440	V_DO_Part	given	Gries
441	V_DO_Part	given	Gries
442	V_DO_Part	given	Gries
443	V_DO_Part	given	Gries
444	V_DO_Part	given	Gries
445	V_DO_Part	given	Gries
446	V_DO_Part	given	Gries
447	V_DO_Part	given	Gries
448	V_DO_Part	given	Gries
449	V_DO_Part	given	Gries
450	V_DO_Part	given	Gries
451	V_DO_Part	given	Gries
452	V_DO_Part	given	Gries
453	V_DO_Part	given	Gries
454	V_DO_Part	given	Gries
455	V_DO_Part	given	Gries
456	V_DO_Part	given	Gries
457	V_DO_Part	given	Gries
458	V_DO_Part	given	Gries
459	V_DO_Part	given	Gries
460	V_DO_Part	given	Gries
461	V_DO_Part	given	Gries
462	V_DO_Part	given	Gries
463	V_DO_Part	given	Gries
464	V_DO_Part	given	Gries
465	V_DO_Part	given	Gries
466	V_DO_Part	given	Gries
467	V_DO_Part	given	Gries
468	V_DO_Part	given	Gries
469	V_DO_Part	given	Gries
470	V_DO_Part	given	Gries
471	V_DO_Part	given	Gries
472	V_DO_Part	given	Gries
473	V_DO_Part	given	Gries
474	V_DO_Part	given	Gries
475	V_DO_Part	given	Gries
476	V_DO_Part	given	Gries
477	V_DO_Part	given	Gries
478	V_DO_Part	given	Gries
479	V_DO_Part	given	Gries
480	V_DO_Part	given	Gries
481	V_DO_Part	given	Gries
482	V_DO_Part	given	Gries
483	V_DO_Part	given	Gries
484	V_DO_Part	given	Gries
485	V_DO_Part	given	Gries
486	V_DO_Part	given	Gries
487	V_DO_Part	given	Gries
488	V_DO_Part	given	Gries
489	V_DO_Part	given	Gries
490	V_DO_Part	given	Gries
491	V_DO_Part	given	Gries
492	V_DO_Part	given	Gries
493	V_DO_Part	given	Gries
494	V_DO_Part	given	Gries
495	V_DO_Part	given	Gries
496	V_DO_Part	given	Gries
497	V_DO_Part	given	Gries
498	V_DO_Part	given	Gries
499	V_DO_Part	given	Gries
500	V_DO_Part	given	Gries
501	V_DO_Part	given	Gries
502	V_DO_Part	given	Gries
503	V_DO_Part	given	Gries
504	V_DO_Part	given	Gries
505	V_DO_Part	given	Gries
506	V_DO_Part	given	Gries
507	V_DO_Part	given	Gries
508	V_DO_Part	given	Gries
509	V_DO_Part	given	Gries
510	V_DO_Part	given	Gries
511	V_DO_Part	given	Gries
512	V_DO_Part	given	Gries
513	V_DO_Part	given	Gries
514	V_DO_Part	given	Gries
515	V_DO_Part	given	Gries
516	V_DO_Part	given	Gries
517	V_DO_Part	given	Gries
518	V_DO_Part	given	Gries
519	V_DO_Part	given	Gries
520	V_DO_Part	given	Gries
521	V_DO_Part	given	Gries
522	V_DO_Part	given	Gries
523	V_DO_Part	given	Gries
524	V_DO_Part	given	Gries
525	V_DO_Part	given	Gries
526	V_DO_Part	given	Gries
527	V_DO_Part	given	Gries
528	V_DO_Part	given	Gries
529	V_DO_Part	given	Gries
530	V_DO_Part	given	Gries
531	V_DO_Part	given	Gries
532	V_DO_Part	given	Gries
533	V_DO_Part	given	Gries
534	V_DO_Part	given	Gries
535	V_DO_Part	given	Gries
536	V_DO_Part	given	Gries
537	V_DO_Part	given	Gries
538	V_DO_Part	given	Gries
539	V_DO_Part	given	Gries
540	V_DO_Part	given	Gries
541	V_DO_Part	new	Gries
542	V_DO_Part	new	Gries
543	V_DO_Part	new	Gries
544	V_DO_Part	new	Gries
545	V_DO_Part	new	Gries
546	V_DO_Part	new	Gries
547	V_DO_Part	new	Gries
548	V_DO_Part	new	Gries
549	V_DO_Part	new	Gries
550	V_DO_Part	new	Gries
551	V_DO_Part	new	Gries
552	V_DO_Part	new	Gries
553	V_DO_Part	new	Gries
554	V_DO_Part	new	Gries
555	V_DO_Part	new	Gries
556	V_DO_Part	new	Gries
557	V_DO_Part	new	Gries
558	V_DO_Part	new	Gries
559	V_DO_Part	new	Gries
560	V_DO_Part	new	Gries
561	V_DO_Part	new	Gries
562	V_DO_Part	new	Gries
563	V_DO_Part	new	Gries
564	V_DO_Part	new	Gries
565	V_DO_Part	new	Gries
566	V_DO_Part	new	Gries
567	V_DO_Part	new	Gries
568	V_DO_Part	new	Gries
569	V_DO_Part	new	Gries
570	V_DO_Part	new	Gries
571	V_DO_Part	new	Gries
572	V_DO_Part	new	Gries
573	V_DO_Part	new	Gries
574	V_DO_Part	new	Gries
575	V_DO_Part	new	Gries
576	V_DO_Part	new	Gries
577	V_DO_Part	new	Gries
578	V_DO_Part	new	Gries
579	V_DO_Part	new	Gries
580	V_DO_Part	new	Gries
581	V_DO_Part	new	Gries
582	V_DO_Part	new	Gries
583	V_DO_Part	new	Gries
584	V_DO_Part	new	Gries
585	V_DO_Part	new	Gries
586	V_DO_Part	new	Gries
587	V_DO_Part	new	Gries
588	V_DO_Part	new	Gries
589	V_DO_Part	new	Gries
590	V_DO_Part	new	Gries
591	V_DO_Part	new	Gries
592	V_DO_Part	new	Gries
593	V_DO_Part	new	Gries
594	V_DO_Part	new	Gries
595	V_DO_Part	new	Gries
596	V_DO_Part	new	Gries
597	V_DO_Part	new	Gries
598	V_DO_Part	new	Gries
599	V_DO_Part	new	Gries
600	V_DO_Part	new	Gries
601	V_DO_Part	new	Gries
602	V_DO_Part	new	Gries
603	V_DO_Part	new	Gries
604	V_DO_Part	new	Gries
605	V_DO_Part	new	Gries
606	V_DO_Part	new	Gries
607	V_Part_DO	given	Gries
608	V_Part_DO	given	Gries
609	V_Part_DO	given	Gries
610	V_Part_DO	given	Gries
611	V_Part_DO	given	Gries
612	V_Part_DO	given	Gries
613	V_Part_DO	given	Gries
614	V_Part_DO	given	Gries
615	V_Part_DO	given	Gries
616	V_Part_DO	given	Gries
617	V_Part_DO	given	Gries
618	V_Part_DO	given	Gries
619	V_Part_DO	given	Gries
620	V_Part_DO	given	Gries
621	V_Part_DO	given	Gries
622	V_Part_DO	given	Gries
623	V_Part_DO	given	Gries
624	V_Part_DO	given	Gries
625	V_Part_DO	given	Gries
626	V_Part_DO	given	Gries
627	V_Part_DO	given	Gries
628	V_Part_DO	given	Gries
629	V_Part_DO	given	Gries
630	V_Part_DO	given	Gries
631	V_Part_DO	given	Gries
632	V_Part_DO	given	Gries
633	V_Part_DO	given	Gries
634	V_Part_DO	given	Gries
635	V_Part_DO	given	Gries
636	V_Part_DO	given	Gries
637	V_Part_DO	given	Gries
638	V_Part_DO	given	Gries
639	V_Part_DO	given	Gries
640	V_Part_DO	given	Gries
641	V_Part_DO	given	Gries
642	V_Part_DO	given	Gries
643	V_Part_DO	given	Gries
644	V_Part_DO	given	Gries
645	V_Part_DO	given	Gries
646	V_Part_DO	given	Gries
647	V_Part_DO	given	Gries
648	V_Part_DO	given	Gries
649	V_Part_DO	given	Gries
650	V_Part_DO	given	Gries
651	V_Part_DO	given	Gries
652	V_Part_DO	given	Gries
653	V_Part_DO	given	Gries
654	V_Part_DO	given	Gries
655	V_Part_DO	given	Gries
656	V_Part_DO	given	Gries
657	V_Part_DO	given	Gries
658	V_Part_DO	given	Gries
659	V_Part_DO	given	Gries
660	V_Part_DO	new	Gries
661	V_Part_DO	new	Gries
662	V_Part_DO	new	Gries
663	V_Part_DO	new	Gries
664	V_Part_DO	new	Gries
665	V_Part_DO	new	Gries
666	V_Part_DO	new	Gries
667	V_Part_DO	new	Gries
668	V_Part_DO	new	Gries
669	V_Part_DO	new	Gries
670	V_Part_DO	new	Gries
671	V_Part_DO	new	Gries
672	V_Part_DO	new	Gries
673	V_Part_DO	new	Gries
674	V_Part_DO	new	Gries
675	V_Part_DO	new	Gries
676	V_Part_DO	new	Gries
677	V_Part_DO	new	Gries
678	V_Part_DO	new	Gries
679	V_Part_DO	new	Gries
680	V_Part_DO	new	Gries
681	V_Part_DO	new	Gries
682	V_Part_DO	new	Gries
683	V_Part_DO	new	Gries
684	V_Part_DO	new	Gries
685	V_Part_DO	new	Gries
686	V_Part_DO	new	Gries
687	V_Part_DO	new	Gries
688	V_Part_DO	new	Gries
689	V_Part_DO	new	Gries
690	V_Part_DO	new	Gries
691	V_Part_DO	new	Gries
692	V_Part_DO	new	Gries
693	V_Part_DO	new	Gries
694	V_Part_DO	new	Gries
695	V_Part_DO	new	Gries
696	V_Part_DO	new	Gries
697	V_Part_DO	new	Gries
698	V_Part_DO	new	Gries
699	V_Part_DO	new	Gries
700	V_Part_DO	new	Gries
701	V_Part_DO	new	Gries
702	V_Part_DO	new	Gries
703	V_Part_DO	new	Gries
704	V_Part_DO	new	Gries
705	V_Part_DO	new	Gries
706	V_Part_DO	new	Gries
707	V_Part_DO	new	Gries
708	V_Part_DO	new	Gries
709	V_Part_DO	new	Gries
710	V_Part_DO	new	Gries
711	V_Part_DO	new	Gries
712	V_Part_DO	new	Gries
713	V_Part_DO	new	Gries
714	V_Part_DO	new	Gries
715	V_Part_DO	new	Gries
716	V_Part_DO	new	Gries
717	V_Part_DO	new	Gries
718	V_Part_DO	new	Gries
719	V_Part_DO	new	Gries
720	V_Part_DO	new	Gries
721	V_Part_DO	new	Gries
722	V_Part_DO	new	Gries
723	V_Part_DO	new	Gries
724	V_Part_DO	new	Gries
725	V_Part_DO	new	Gries
726	V_Part_DO	new	Gries
727	V_Part_DO	new	Gries
728	V_Part_DO	new	Gries
729	V_Part_DO	new	Gries
730	V_Part_DO	new	Gries
731	V_Part_DO	new	Gries
732	V_Part_DO	new	Gries
733	V_Part_DO	new	Gries
734	V_Part_DO	new	Gries
735	V_Part_DO	new	Gries
736	V_Part_DO	new	Gries
737	V_Part_DO	new	Gries
738	V_Part_DO	new	Gries
739	V_Part_DO	new	Gries
740	V_Part_DO	new	Gries
741	V_Part_DO	new	Gries
742	V_Part_DO	new	Gries
743	V_Part_DO	new	Gries
744	V_Part_DO	new	Gries
745	V_Part_DO	new	Gries
746	V_Part_DO	new	Gries
747	V_Part_DO	new	Gries
748	V_Part_DO	new	Gries
749	V_Part_DO	new	Gries
750	V_Part_DO	new	Gries
751	V_Part_DO	new	Gries
752	V_Part_DO	new	Gries
753	V_Part_DO	new	Gries
754	V_Part_DO	new	Gries
755	V_Part_DO	new	Gries
756	V_Part_DO	new	Gries
757	V_Part_DO	new	Gries
758	V_Part_DO	new	Gries
759	V_Part_DO	new	Gries
760	V_Part_DO	new	Gries
761	V_Part_DO	new	Gries
762	V_Part_DO	new	Gries
763	V_Part_DO	new	Gries
764	V_Part_DO	new	Gries
765	V_Part_DO	new	Gries
766	V_Part_DO	new	Gries
767	V_Part_DO	new	Gries
768	V_Part_DO	new	Gries
769	V_Part_DO	new	Gries
770	V_Part_DO	new	Gries
771	V_Part_DO	new	Gries
772	V_Part_DO	new	Gries
773	V_Part_DO	new	Gries
774	V_Part_DO	new	Gries
775	V_Part_DO	new	Gries
776	V_Part_DO	new	Gries
777	V_Part_DO	new	Gries
778	V_Part_DO	new	Gries
779	V_Part_DO	new	Gries
780	V_Part_DO	new	Gries
781	V_Part_DO	new	Gries
782	V_Part_DO	new	Gries
783	V_Part_DO	new	Gries
784	V_Part_DO	new	Gries
785	V_Part_DO	new	Gries
786	V_Part_DO	new	Gries
787	V_Part_DO	new	Gries
788	V_Part_DO	new	Gries
789	V_Part_DO	new	Gries
790	V_Part_DO	new	Gries
791	V_Part_DO	new	Gries
792	V_Part_DO	new	Gries
793	V_Part_DO	new	Gries
794	V_Part_DO	new	Gries
795	V_Part_DO	new	Gries
796	V_Part_DO	new	Gries
797	V_Part_DO	new	Gries
798	V_Part_DO	new	Gries
799	V_Part_DO	new	Gries
800	V_Part_DO	new	Gries
