CASE	CONSTRUCTION	PREDICTION	RATING
66	PrepDative	NoPref	2
67	Ditransitive	PrepDative	2
68	Ditransitive	NoPref	2
69	Ditransitive	Ditransitive	2
70	Ditransitive	Ditransitive	2
71	Ditransitive	PrepDative	2
72	Ditransitive	Ditransitive	2
73	Ditransitive	PrepDative	2
74	PrepDative	Ditransitive	2
75	PrepDative	PrepDative	2
76	Ditransitive	NoPref	2
77	Ditransitive	NoPref	2
78	PrepDative	PrepDative	2
79	PrepDative	PrepDative	2
80	Ditransitive	Ditransitive	2
81	Ditransitive	PrepDative	2
82	PrepDative	PrepDative	2
83	Ditransitive	Ditransitive	2
84	Ditransitive	PrepDative	2
85	Ditransitive	NoPref	2
86	PrepDative	Ditransitive	2
87	Ditransitive	NoPref	2
88	PrepDative	Ditransitive	1
89	PrepDative	NoPref	1
90	Ditransitive	PrepDative	1
91	PrepDative	NoPref	1
92	PrepDative	PrepDative	1
93	PrepDative	Ditransitive	1
94	PrepDative	Ditransitive	1
95	PrepDative	NoPref	1
96	PrepDative	PrepDative	1
97	Ditransitive	NoPref	1
98	Ditransitive	PrepDative	1
99	Ditransitive	Ditransitive	1
100	Ditransitive	PrepDative	1
101	PrepDative	PrepDative	1
102	Ditransitive	PrepDative	1
103	PrepDative	Ditransitive	1
104	Ditransitive	PrepDative	1
105	PrepDative	PrepDative	1
106	PrepDative	PrepDative	0
107	PrepDative	NoPref	0
108	PrepDative	NoPref	0
109	PrepDative	Ditransitive	0
110	Ditransitive	Ditransitive	0
111	Ditransitive	Ditransitive	0
112	Ditransitive	PrepDative	0
113	PrepDative	PrepDative	0
114	Ditransitive	NoPref	0
115	Ditransitive	PrepDative	0
116	Ditransitive	Ditransitive	0
117	PrepDative	Ditransitive	0
118	Ditransitive	NoPref	0
119	PrepDative	PrepDative	0
120	Ditransitive	NoPref	0
121	Ditransitive	PrepDative	0
122	Ditransitive	NoPref	0
123	PrepDative	Ditransitive	0
124	PrepDative	PrepDative	0
125	Ditransitive	NoPref	0
126	PrepDative	Ditransitive	-1
127	PrepDative	NoPref	-1
128	Ditransitive	Ditransitive	-1
129	PrepDative	Ditransitive	-1
130	PrepDative	NoPref	-1
131	Ditransitive	NoPref	-1
132	Ditransitive	PrepDative	-1
133	Ditransitive	PrepDative	-1
134	PrepDative	PrepDative	-1
135	PrepDative	NoPref	-1
136	PrepDative	NoPref	-1
137	PrepDative	Ditransitive	-1
138	Ditransitive	PrepDative	-1
139	Ditransitive	PrepDative	-1
140	PrepDative	Ditransitive	-1
141	PrepDative	Ditransitive	-1
142	PrepDative	PrepDative	-1
143	Ditransitive	PrepDative	-1
144	PrepDative	Ditransitive	-1
145	Ditransitive	Ditransitive	-1
146	Ditransitive	Ditransitive	-2
147	PrepDative	Ditransitive	-2
148	Ditransitive	Ditransitive	-2
149	PrepDative	PrepDative	-2
150	Ditransitive	PrepDative	-2
151	Ditransitive	PrepDative	-2
152	Ditransitive	PrepDative	-2
153	PrepDative	Ditransitive	-2
154	PrepDative	Ditransitive	-2
155	Ditransitive	Ditransitive	-2
156	PrepDative	Ditransitive	-2
157	PrepDative	Ditransitive	-2
158	Ditransitive	PrepDative	-2
159	Ditransitive	Ditransitive	-3
160	PrepDative	NoPref	-3
161	Ditransitive	PrepDative	-3
162	Ditransitive	PrepDative	-3
163	PrepDative	Ditransitive	-3
164	PrepDative	Ditransitive	-3
165	Ditransitive	Ditransitive	-3
166	Ditransitive	PrepDative	-3
167	PrepDative	Ditransitive	-3
168	Ditransitive	Ditransitive	-3
169	Ditransitive	PrepDative	-3
170	PrepDative	Ditransitive	-3
171	Ditransitive	Ditransitive	-3
172	PrepDative	PrepDative	-3
173	PrepDative	Ditransitive	-3
174	Ditransitive	Ditransitive	-3
175	Ditransitive	PrepDative	-3
176	PrepDative	Ditransitive	-3
177	PrepDative	Ditransitive	-3
178	PrepDative	Ditransitive	-3
179	Ditransitive	PrepDative	-3
